__time,/posePub_merged/header/seq,/posePub_merged/header/stamp,/posePub_merged/pose/orientation/pitch_deg,/posePub_merged/pose/orientation/roll_deg,/posePub_merged/pose/orientation/w,/posePub_merged/pose/orientation/x,/posePub_merged/pose/orientation/y,/posePub_merged/pose/orientation/yaw_deg,/posePub_merged/pose/orientation/z,/posePub_merged/pose/position/x,/posePub_merged/pose/position/y,/posePub_merged/pose/position/z
1617333602.799971,13782.000000000,1617333602.799615383,1.428819689,-174.985489837,0.043662392,-0.998944044,-0.005792372,0.727019297,0.012733758,0.001572393,-0.001031318,0.000000000
1617333602.808034,13783.000000000,1617333602.807615995,1.426477297,-174.988111699,0.043639619,-0.998945236,-0.005797972,0.727525538,0.012713399,0.001561082,-0.001021836,0.000000000
1617333602.816036,13784.000000000,1617333602.815616846,1.424053394,-174.991375639,0.043611038,-0.998946667,-0.005820931,0.730011434,0.012693050,0.001556116,-0.001009904,0.000000000
1617333602.824021,13785.000000000,1617333602.823614836,1.419996482,-174.995212857,0.043577839,-0.998948514,-0.005822234,0.729934550,0.012657460,0.001548231,-0.000995913,0.000000000
1617333602.832195,13786.000000000,1617333602.831723690,1.422420471,-175.000016991,0.043535907,-0.998950183,-0.005814621,0.729106351,0.012678033,0.001565391,-0.000978065,0.000000000
1617333602.840058,13787.000000000,1617333602.839617491,1.427353659,-175.007779253,0.043467857,-0.998952627,-0.005820516,0.729899551,0.012720945,0.001582043,-0.000949364,0.000000000
1617333602.848019,13788.000000000,1617333602.847610235,1.430284636,-175.014168645,0.043411970,-0.998954654,-0.005820663,0.729962853,0.012746194,0.001594206,-0.000925734,0.000000000
1617333602.856164,13789.000000000,1617333602.855628490,1.431114986,-175.020466704,0.043356963,-0.998956919,-0.005825259,0.730445945,0.012753296,0.001601535,-0.000902509,0.000000000
1617333602.864032,13790.000000000,1617333602.863612413,1.428812917,-175.029284512,0.043280113,-0.998960435,-0.005836349,0.731505386,0.012733179,0.001595459,-0.000870232,0.000000000
1617333602.872200,13791.000000000,1617333602.871612549,1.426488815,-175.033145034,0.043246381,-0.998962045,-0.005854837,0.733475925,0.012713466,0.001582811,-0.000856219,0.000000000
1617333602.880042,13792.000000000,1617333602.879616976,1.427934623,-175.040775876,0.043179784,-0.998964787,-0.005854149,0.733362633,0.012725637,0.001587395,-0.000828144,0.000000000
1617333602.888058,13793.000000000,1617333602.887611389,1.425307436,-175.046359445,0.043131225,-0.998967111,-0.005858984,0.733732301,0.012702588,0.001581825,-0.000807716,0.000000000
1617333602.896737,13794.000000000,1617333602.895644665,1.429102514,-175.049179796,0.043106325,-0.998967767,-0.005864528,0.734496751,0.012735816,0.001590104,-0.000797255,0.000000000
1617333602.904049,13795.000000000,1617333602.903612852,1.431053707,-175.054783700,0.043057356,-0.998969734,-0.005864480,0.734504173,0.012752542,0.001591669,-0.000776660,0.000000000
1617333602.912295,13796.000000000,1617333602.911613941,1.434830478,-175.062109230,0.042993318,-0.998972118,-0.005859806,0.734037612,0.012784917,0.001597783,-0.000749677,0.000000000
1617333602.920041,13797.000000000,1617333602.919609547,1.432902233,-175.067160716,0.042949181,-0.998974025,-0.005877730,0.735945945,0.012768563,0.001590000,-0.000731236,0.000000000
1617333602.928062,13798.000000000,1617333602.927612305,1.433445551,-175.071832834,0.042908408,-0.998975694,-0.005878781,0.736030171,0.012773091,0.001590325,-0.000714085,0.000000000
1617333602.935983,13799.000000000,1617333602.935611486,1.436008796,-175.072833717,0.042899616,-0.998975873,-0.005871084,0.735244929,0.012795092,0.001596012,-0.000710336,0.000000000
1617333602.943928,13800.000000000,1617333602.943608999,1.438303109,-175.077872499,0.042855307,-0.998977363,-0.005889581,0.737400982,0.012815640,0.001609638,-0.000691665,0.000000000
1617333602.952169,13801.000000000,1617333602.951642752,1.440829720,-175.081974299,0.042819180,-0.998978555,-0.005905987,0.739338928,0.012838180,0.001617670,-0.000676508,0.000000000
1617333602.959968,13802.000000000,1617333602.959620953,1.441541340,-175.086578699,0.042779006,-0.998980284,-0.005905748,0.739282887,0.012844127,0.001622666,-0.000659546,0.000000000
1617333602.968069,13803.000000000,1617333602.967630863,1.443004907,-175.092134368,0.042730521,-0.998982131,-0.005902618,0.738915353,0.012856461,0.001632349,-0.000639025,0.000000000
1617333602.976059,13804.000000000,1617333602.975615501,1.440961738,-175.093444733,0.042718917,-0.998982787,-0.005927584,0.741674527,0.012839612,0.001633493,-0.000634198,0.000000000
1617333602.984067,13805.000000000,1617333602.983619928,1.440468722,-175.096628714,0.042691197,-0.998984039,-0.005927594,0.741613624,0.012835126,0.001632273,-0.000622518,0.000000000
1617333602.992713,13806.000000000,1617333602.992251873,1.443744542,-175.101427515,0.042648971,-0.998985291,-0.005941420,0.743278369,0.012864054,0.001642426,-0.000604776,0.000000000
1617333602.999947,13807.000000000,1617333602.999634027,1.441524475,-175.102476641,0.042640124,-0.998986006,-0.005929764,0.741832698,0.012844108,0.001639850,-0.000600959,0.000000000
1617333603.007948,13808.000000000,1617333603.007635355,1.441770705,-175.104142912,0.042625513,-0.998986542,-0.005935165,0.742441292,0.012846394,0.001642006,-0.000594804,0.000000000
1617333603.016106,13809.000000000,1617333603.015654802,1.443459980,-175.106071404,0.042608514,-0.998987079,-0.005941324,0.743195365,0.012861302,0.001647266,-0.000587656,0.000000000
1617333603.024017,13810.000000000,1617333603.023632765,1.446271332,-175.110000039,0.042574104,-0.998988211,-0.005939780,0.743087956,0.012885567,0.001655544,-0.000573127,0.000000000
1617333603.031953,13811.000000000,1617333603.031632900,1.446111058,-175.112629686,0.042551152,-0.998989165,-0.005942889,0.743403852,0.012884150,0.001660108,-0.000563413,0.000000000
1617333603.040027,13812.000000000,1617333603.039652109,1.447253369,-175.115435572,0.042526372,-0.998989999,-0.005962208,0.745632477,0.012894791,0.001656585,-0.000553156,0.000000000
1617333603.048187,13813.000000000,1617333603.047649384,1.447899752,-175.116394799,0.042517863,-0.998990238,-0.005970325,0.746578785,0.012900727,0.001654650,-0.000549657,0.000000000
1617333603.056402,13814.000000000,1617333603.055649042,1.450359548,-175.116612991,0.042516284,-0.998990238,-0.005932679,0.742362817,0.012920595,0.001658805,-0.000548800,0.000000000
1617333603.064132,13815.000000000,1617333603.063623905,1.451038089,-175.116894239,0.042513888,-0.998990357,-0.005925028,0.741510425,0.012926180,0.001659618,-0.000547755,0.000000000
1617333603.072832,13816.000000000,1617333603.071678162,1.454114176,-175.116875691,0.042513873,-0.998989999,-0.005922921,0.741400393,0.012952956,0.001667024,-0.000547723,0.000000000
1617333603.080078,13817.000000000,1617333603.079629183,1.459238726,-175.116923538,0.042513080,-0.998989463,-0.005925968,0.741968223,0.012997840,0.001683912,-0.000547324,0.000000000
1617333603.088070,13818.000000000,1617333603.087650776,1.459960711,-175.114159832,0.042537391,-0.998988450,-0.005905169,0.739649287,0.013003415,0.001687350,-0.000557420,0.000000000
1617333603.096169,13819.000000000,1617333603.095643997,1.462216856,-175.110937064,0.042565405,-0.998987138,-0.005899991,0.739193692,0.013023082,0.001692567,-0.000569188,0.000000000
1617333603.104041,13820.000000000,1617333603.103626966,1.458051039,-175.104546934,0.042621307,-0.998985171,-0.005905393,0.739718259,0.012987290,0.001684498,-0.000592765,0.000000000
1617333603.112216,13821.000000000,1617333603.111774206,1.458558535,-175.105334932,0.042614225,-0.998985231,-0.005918905,0.741279758,0.012992253,0.001692386,-0.000589765,0.000000000
1617333603.120108,13822.000000000,1617333603.119626999,1.457602396,-175.103280436,0.042632211,-0.998984575,-0.005917744,0.741132355,0.012983968,0.001694976,-0.000597266,0.000000000
1617333603.128215,13823.000000000,1617333603.127632380,1.452341295,-175.100720187,0.042654928,-0.998984337,-0.005913955,0.740505413,0.012938004,0.001687372,-0.000606757,0.000000000
1617333603.137223,13824.000000000,1617333603.135638237,1.457438456,-175.098562235,0.042673286,-0.998982847,-0.005922577,0.741741017,0.012983010,0.001704242,-0.000614454,0.000000000
1617333603.144133,13825.000000000,1617333603.143624783,1.455147531,-175.094080266,0.042712376,-0.998981416,-0.005932597,0.742850242,0.012963684,0.001703212,-0.000630909,0.000000000
1617333603.152148,13826.000000000,1617333603.151612520,1.453052879,-175.088915174,0.042757526,-0.998979628,-0.005932953,0.742868140,0.012945697,0.001696602,-0.000649947,0.000000000
1617333603.160097,13827.000000000,1617333603.159612179,1.451054184,-175.088836960,0.042758316,-0.998979926,-0.005935213,0.743042474,0.012928343,0.001691863,-0.000650294,0.000000000
1617333603.168099,13828.000000000,1617333603.167622328,1.449647100,-175.084024948,0.042800557,-0.998978257,-0.005918940,0.741177660,0.012915628,0.001682653,-0.000668067,0.000000000
1617333603.176127,13829.000000000,1617333603.175617456,1.446959174,-175.079089158,0.042843960,-0.998976827,-0.005903198,0.739319972,0.012891756,0.001670580,-0.000686333,0.000000000
1617333603.183974,13830.000000000,1617333603.183617115,1.450465874,-175.075998976,0.042870615,-0.998975217,-0.005906877,0.739932926,0.012922714,0.001675214,-0.000697614,0.000000000
1617333603.192086,13831.000000000,1617333603.191618919,1.453154633,-175.076118216,0.042869233,-0.998974919,-0.005919750,0.741523861,0.012946744,0.001681640,-0.000697091,0.000000000
1617333603.200009,13832.000000000,1617333603.199619532,1.452761707,-175.072171193,0.042903673,-0.998973489,-0.005918888,0.741459256,0.012943498,0.001676369,-0.000711641,0.000000000
