__time,/camera/pose/header/seq,/camera/pose/header/stamp,/camera/pose/pose/orientation/pitch_deg,/camera/pose/pose/orientation/roll_deg,/camera/pose/pose/orientation/w,/camera/pose/pose/orientation/x,/camera/pose/pose/orientation/y,/camera/pose/pose/orientation/yaw_deg,/camera/pose/pose/orientation/z,/camera/pose/pose/position/x,/camera/pose/pose/position/y,/camera/pose/pose/position/z
1617333602.741844,20204.000000000,1617333602.741364241,0.131900234,-1.518603335,0.999910772,-0.013250503,0.001167115,-0.139828826,-0.001204875,0.001737920,-0.000170372,-0.001067724
1617333602.746934,20205.000000000,1617333602.746383905,0.131561508,-1.520073929,0.999910653,-0.013263338,0.001164186,-0.139928183,-0.001205766,0.001726479,-0.000163950,-0.001052308
1617333602.752125,20206.000000000,1617333602.751376629,0.129034367,-1.519741435,0.999910772,-0.013260457,0.001142228,-0.140764513,-0.001213360,0.001714336,-0.000157011,-0.001035311
1617333602.756957,20207.000000000,1617333602.756387472,0.127401184,-1.519865727,0.999910653,-0.013261554,0.001128021,-0.141133135,-0.001216764,0.001710446,-0.000152466,-0.001013304
1617333602.762171,20208.000000000,1617333602.761633635,0.126114636,-1.519778205,0.999910712,-0.013260786,0.001117013,-0.143026559,-0.001233436,0.001698860,-0.000146352,-0.000992240
1617333602.766840,20209.000000000,1617333602.766374826,0.123841392,-1.519892970,0.999910712,-0.013261814,0.001097167,-0.142932640,-0.001232878,0.001687039,-0.000140242,-0.000968849
1617333602.772102,20210.000000000,1617333602.771389484,0.124011498,-1.520733299,0.999910593,-0.013269150,0.001098592,-0.142342825,-0.001227704,0.001676308,-0.000134169,-0.000945028
1617333602.776979,20211.000000000,1617333602.776419640,0.124569531,-1.520923840,0.999910593,-0.013270793,0.001103635,-0.143821433,-0.001240539,0.001798766,-0.000189857,-0.000992101
1617333602.782154,20212.000000000,1617333602.781250477,0.122655877,-1.521157874,0.999910593,-0.013272866,0.001086820,-0.142787727,-0.001231739,0.001795562,-0.000189738,-0.000976541
1617333602.786869,20213.000000000,1617333602.786400795,0.121654439,-1.521068665,0.999910593,-0.013272072,0.001078403,-0.145574468,-0.001256172,0.001775512,-0.000186738,-0.000954128
1617333602.792095,20214.000000000,1617333602.791370153,0.119870485,-1.520970065,0.999910593,-0.013271246,0.001062649,-0.143968435,-0.001242366,0.001767333,-0.000184749,-0.000933481
1617333602.797205,20215.000000000,1617333602.796563625,0.117379640,-1.521374259,0.999910593,-0.013274792,0.001041040,-0.145011942,-0.001251756,0.001759122,-0.000182234,-0.000911071
1617333602.802014,20216.000000000,1617333602.801391125,0.115398811,-1.522070689,0.999910533,-0.013280906,0.001023565,-0.143303337,-0.001237071,0.001764132,-0.000177472,-0.000887006
1617333602.807033,20217.000000000,1617333602.806393147,0.114393130,-1.522791778,0.999910474,-0.013287207,0.001014825,-0.143542752,-0.001239270,0.001822115,-0.000190816,-0.001065339
1617333602.812065,20218.000000000,1617333602.811395407,0.112645734,-1.522426913,0.999910533,-0.013284042,0.000999576,-0.143567058,-0.001239688,0.001824730,-0.000185336,-0.001057594
1617333602.817003,20219.000000000,1617333602.816422701,0.109402863,-1.524555238,0.999910355,-0.013302655,0.000971238,-0.143010051,-0.001235185,0.001825145,-0.000181053,-0.001038670
1617333602.821862,20220.000000000,1617333602.821386337,0.106465091,-1.523441780,0.999910414,-0.013292973,0.000945551,-0.142667205,-0.001232544,0.001827164,-0.000175217,-0.001026758
1617333602.827090,20221.000000000,1617333602.826523781,0.102823095,-1.524143395,0.999910414,-0.013299135,0.000913798,-0.142822842,-0.001234319,0.001831779,-0.000168876,-0.001012637
1617333602.832108,20222.000000000,1617333602.831389666,0.100445598,-1.523364650,0.999910533,-0.013292379,0.000892844,-0.141102153,-0.001219587,0.001841352,-0.000163948,-0.001005388
1617333602.837129,20223.000000000,1617333602.836413383,0.096503759,-1.525320553,0.999910355,-0.013309488,0.000858479,-0.141186288,-0.001220763,0.001848122,-0.000158117,-0.000991418
1617333602.841813,20224.000000000,1617333602.841400385,0.092265521,-1.525161436,0.999910355,-0.013308149,0.000821431,-0.140635896,-0.001216454,0.001846729,-0.000179984,-0.001079735
1617333602.846798,20225.000000000,1617333602.846384764,0.088008242,-1.525487579,0.999910355,-0.013311032,0.000784435,-0.141921425,-0.001228164,0.001858951,-0.000176707,-0.001070969
1617333602.851895,20226.000000000,1617333602.851416111,0.084466585,-1.524892217,0.999910474,-0.013305880,0.000753452,-0.141294949,-0.001223113,0.001873388,-0.000173282,-0.001064521
1617333602.856860,20227.000000000,1617333602.856431961,0.082028645,-1.525528863,0.999910414,-0.013311475,0.000731949,-0.139255197,-0.001205593,0.001884345,-0.000169752,-0.001054577
1617333602.862241,20228.000000000,1617333602.861768723,0.077579711,-1.524992586,0.999910533,-0.013306853,0.000692919,-0.137509782,-0.001190883,0.001896456,-0.000166196,-0.001042194
1617333602.867159,20229.000000000,1617333602.866476059,0.073726832,-1.525912719,0.999910474,-0.013314924,0.000659291,-0.137349225,-0.001189924,0.001901902,-0.000159143,-0.001025226
1617333602.871920,20230.000000000,1617333602.871404409,0.070068870,-1.526021832,0.999910474,-0.013315916,0.000627344,-0.137100725,-0.001188180,0.001909681,-0.000152578,-0.001008357
1617333602.876870,20231.000000000,1617333602.876426697,0.062601912,-1.524013759,0.999910712,-0.013298467,0.000562292,-0.138176061,-0.001198441,0.001859509,-0.000180912,-0.001129609
1617333602.881827,20232.000000000,1617333602.881409883,0.057719038,-1.524081437,0.999910772,-0.013299114,0.000519569,-0.137166773,-0.001190201,0.001860260,-0.000177691,-0.001123345
1617333602.886810,20233.000000000,1617333602.886393785,0.055441162,-1.524585782,0.999910712,-0.013303537,0.000499746,-0.137586786,-0.001194128,0.001861758,-0.000172355,-0.001117367
1617333602.891833,20234.000000000,1617333602.891394377,0.049990554,-1.525336909,0.999910593,-0.013310150,0.000452120,-0.136957071,-0.001189263,0.001862749,-0.000166533,-0.001111290
1617333602.897207,20235.000000000,1617333602.896560907,0.047053093,-1.524604248,0.999910772,-0.013303795,0.000426290,-0.135319492,-0.001175318,0.001867420,-0.000161972,-0.001107582
1617333602.901933,20236.000000000,1617333602.901399851,0.043914621,-1.524333561,0.999910831,-0.013301469,0.000398771,-0.134199811,-0.001165913,0.001870703,-0.000156631,-0.001101919
1617333602.906814,20237.000000000,1617333602.906414270,0.041219607,-1.523864830,0.999910891,-0.013297406,0.000375283,-0.134482041,-0.001168690,0.001874639,-0.000151272,-0.001095733
1617333602.912081,20238.000000000,1617333602.911404371,0.032560259,-1.521157544,0.999911249,-0.013273869,0.000299843,-0.135757729,-0.001180833,0.001906408,-0.000194314,-0.001134134
1617333602.917109,20239.000000000,1617333602.916553736,0.030397554,-1.521480980,0.999911129,-0.013276714,0.000280892,-0.135046228,-0.001174874,0.001914882,-0.000192125,-0.001127067
1617333602.921816,20240.000000000,1617333602.921410322,0.026020262,-1.522132579,0.999911070,-0.013282443,0.000242791,-0.135802553,-0.001181980,0.001926078,-0.000189403,-0.001118643
